Model,R2,AdjR2,F,F_p,AIC,BIC,N,Residual_df
Model1_GPA~Access_Plus,0.6539128093268822,0.6479457887980353,109.58782631392295,5.53632695348482e-15,302.7491429879448,306.937832112389,60,58
Model2_GPA~Access+Bank+Resilience+Motivation,0.8102160759472378,0.7964136087434005,58.70081515006156,3.3047199093694865e-19,272.70086961028306,283.1725924213936,60,55
