,Access_Plus,Bank_Barrier,Resilience,Motivation,GPA
Access_Plus,1.0,-0.8972067748977118,-0.814858851607526,-0.7998540833241092,-0.8086487552249627
Bank_Barrier,-0.8972067748977118,1.0,0.8169731773889483,0.8692575582853074,0.8307209732296779
Resilience,-0.814858851607526,0.8169731773889483,1.0,0.8242327397550206,0.7997741249323178
Motivation,-0.7998540833241092,0.8692575582853074,0.8242327397550206,1.0,0.881506528149261
GPA,-0.8086487552249627,0.8307209732296779,0.7997741249323178,0.881506528149261,1.0
